input_id,brainage
IXI218-HH-1815-T1_Warped_synthseg_synth_003.nii.gz,26.466447830200195
IXI546-HH-2450-T1_Warped_synthseg_synth_004.nii.gz,42.482513427734375
IXI546-HH-2450-T1_Warped_synthseg_synth_002.nii.gz,66.24103546142578
IXI217-HH-1638-T1_Warped_synthseg_synth_001.nii.gz,30.814228057861328
IXI433-IOP-0989-T1_Warped_synthseg_synth_001.nii.gz,52.486061096191406
IXI061-Guys-0715-T1_Warped_synthseg_synth_002.nii.gz,65.20606994628906
IXI060-Guys-0709-T1_Warped_synthseg_synth_000.nii.gz,45.19114303588867
IXI397-Guys-0953-T1_Warped_synthseg_synth_000.nii.gz,18.53276824951172
IXI487-Guys-1037-T1_Warped_synthseg_synth_000.nii.gz,58.50725173950195
IXI086-Guys-0728-T1_Warped_synthseg_synth_001.nii.gz,23.24897575378418
IXI077-Guys-0752-T1_Warped_synthseg_synth_002.nii.gz,25.454668045043945
IXI334-HH-1907-T1_Warped_synthseg_synth_002.nii.gz,25.433626174926758
IXI027-Guys-0710-T1_Warped_synthseg_synth_002.nii.gz,11.651568412780762
IXI257-HH-1724-T1_Warped_synthseg_synth_002.nii.gz,70.76020812988281
IXI257-HH-1724-T1_Warped_synthseg_synth_001.nii.gz,73.574462890625
IXI338-HH-1971-T1_Warped_synthseg_synth_001.nii.gz,20.312782287597656
IXI158-Guys-0783-T1_Warped_synthseg_synth_001.nii.gz,67.85323333740234
IXI556-HH-2452-T1_Warped_synthseg_synth_003.nii.gz,21.533733367919922
IXI269-Guys-0839-T1_Warped_synthseg_synth_000.nii.gz,14.86655044555664
IXI181-Guys-0790-T1_Warped_synthseg_synth_001.nii.gz,32.81199264526367
IXI015-HH-1258-T1_Warped_synthseg_synth_002.nii.gz,62.042991638183594
IXI436-HH-2153-T1_Warped_synthseg_synth_000.nii.gz,28.789196014404297
IXI302-HH-1883-T1_Warped_synthseg_synth_003.nii.gz,30.35408592224121
IXI186-Guys-0796-T1_Warped_synthseg_synth_001.nii.gz,54.965694427490234
IXI354-HH-2024-T1_Warped_synthseg_synth_002.nii.gz,34.23941421508789
IXI031-Guys-0797-T1_Warped_synthseg_synth_001.nii.gz,10.578628540039062
IXI311-Guys-0885-T1_Warped_synthseg_synth_001.nii.gz,71.24139404296875
IXI128-HH-1470-T1_Warped_synthseg_synth_000.nii.gz,22.41899299621582
IXI322-IOP-0891-T1_Warped_synthseg_synth_000.nii.gz,28.56836700439453
IXI019-Guys-0702-T1_Warped_synthseg_synth_000.nii.gz,74.52375030517578
IXI404-Guys-0950-T1_Warped_synthseg_synth_000.nii.gz,19.14157485961914
IXI299-Guys-0893-T1_Warped_synthseg_synth_000.nii.gz,36.89908218383789
IXI098-Guys-0745-T1_Warped_synthseg_synth_001.nii.gz,19.3780517578125
IXI516-HH-2297-T1_Warped_synthseg_synth_001.nii.gz,41.4442138671875
IXI107-Guys-0761-T1_Warped_synthseg_synth_001.nii.gz,59.686279296875
IXI443-HH-2215-T1_Warped_synthseg_synth_000.nii.gz,77.20069122314453
IXI445-HH-2269-T1_Warped_synthseg_synth_001.nii.gz,77.34190368652344
IXI411-Guys-0959-T1_Warped_synthseg_synth_000.nii.gz,64.07270812988281
IXI256-HH-1723-T1_Warped_synthseg_synth_000.nii.gz,24.286781311035156
IXI601-HH-2700-T1_Warped_synthseg_synth_000.nii.gz,61.716121673583984
IXI609-HH-2600-T1_Warped_synthseg_synth_000.nii.gz,46.340824127197266
IXI377-Guys-0937-T1_Warped_synthseg_synth_000.nii.gz,57.0265007019043
IXI640-Guys-1106-T1_Warped_synthseg_synth_000.nii.gz,72.56847381591797
IXI332-IOP-1134-T1_Warped_synthseg_synth_001.nii.gz,48.45562744140625
IXI258-HH-1769-T1_Warped_synthseg_synth_000.nii.gz,17.491798400878906
IXI400-Guys-0977-T1_Warped_synthseg_synth_000.nii.gz,38.644813537597656
IXI110-Guys-0733-T1_Warped_synthseg_synth_000.nii.gz,29.131296157836914
IXI577-HH-2661-T1_Warped_synthseg_synth_000.nii.gz,32.352783203125
